SEXO,EDAD,NIVEL_LOGRO,PREG1,PREG2,PREG3,PREG4,PREG5,PREG6,PREG7,PREG8,PREG9,PREG10,PERMUTACION_ID,CLUSTER_ID
0,-0.4761021998638143,2,0,1,0,0,1,1,1,0,0,1,42,78
0,-0.4761021998638143,1,0,1,1,1,0,0,0,0,0,1,26,8
0,1.0818238468109702,0,0,0,0,0,0,0,0,0,0,0,62,17
0,-0.4761021998638143,0,0,0,0,0,0,0,0,0,0,0,42,78
1,-0.4761021998638143,2,1,0,1,1,1,0,1,1,1,0,1,13
1,-0.4761021998638143,1,0,1,0,0,0,1,0,1,0,0,56,90
1,1.0818238468109702,2,0,0,1,1,1,1,0,1,1,1,57,60
0,-2.0340282465385986,1,1,1,0,1,1,0,0,0,0,0,15,11
1,-0.4761021998638143,2,1,1,1,0,0,0,0,1,1,1,18,70
1,-0.4761021998638143,2,0,1,1,1,0,0,0,1,1,1,29,63
1,-0.4761021998638143,0,0,0,0,0,0,0,0,0,0,0,62,17
1,-0.4761021998638143,0,0,0,0,1,0,0,0,0,0,1,16,86
0,-0.4761021998638143,2,1,1,1,1,0,0,1,1,0,0,49,65
0,1.0818238468109702,2,1,0,1,1,1,0,0,1,1,1,45,30
0,1.0818238468109702,0,0,0,0,0,1,0,1,0,0,0,3,93
1,-0.4761021998638143,3,1,1,1,1,0,1,1,1,1,1,62,17
0,-2.0340282465385986,1,1,1,0,1,0,0,0,1,0,0,39,81
0,1.0818238468109702,2,0,1,0,0,1,0,1,1,1,1,67,87
0,-0.4761021998638143,2,0,1,0,1,1,1,0,0,1,0,42,78
0,1.0818238468109702,2,0,1,0,1,1,1,1,0,0,1,50,28
1,-0.4761021998638143,1,0,0,0,1,1,0,1,0,1,0,55,4
1,-0.4761021998638143,1,1,0,0,1,1,0,0,0,1,0,68,1
0,-0.4761021998638143,1,1,1,0,0,1,1,0,0,0,0,64,14
0,1.0818238468109702,1,1,0,0,0,0,0,0,0,1,1,69,19
0,-0.4761021998638143,2,1,0,0,1,0,1,1,1,1,1,62,17
0,-0.4761021998638143,3,1,1,1,1,1,1,1,1,1,1,62,17
0,-0.4761021998638143,1,0,0,0,0,1,1,1,1,0,0,42,78
0,1.0818238468109702,0,0,0,0,0,1,0,1,0,0,0,3,93
0,1.0818238468109702,3,1,0,1,0,1,1,1,1,1,1,62,17
1,-0.4761021998638143,1,1,0,0,0,0,1,0,1,0,1,62,17
